Malawi,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
217,2017,1.6053333333333333,1.7,1.73,1.73,1.71,1.73
218,2018,1.5353333333333334,1.74,1.76,1.76,1.73,1.76
219,2019,1.8253333333333333,1.78,1.8,1.79,1.75,1.8
220,2020,1.8353333333333333,1.81,1.83,1.81,1.78,1.83
221,2021,,,1.86,1.84,1.81,1.86
222,2022,,,1.9,1.86,1.84,1.9
223,2023,,,1.93,1.89,1.88,1.93
224,2024,,,1.96,1.92,1.9,1.96
225,2025,,,1.99,1.94,1.93,1.99
226,2026,,,2.01,1.97,1.96,2.03
227,2027,,,2.04,2.0,1.98,2.06
228,2028,,,2.06,2.03,2.01,2.1
229,2029,,,2.09,2.06,2.04,2.14
230,2030,,,2.11,2.09,2.07,2.18
231,2031,,,2.14,2.12,2.1,2.21
232,2032,,,2.16,2.15,2.13,2.25
233,2033,,,2.18,2.18,2.16,2.29
234,2034,,,2.2,2.2,2.2,2.34
235,2035,,,2.22,2.23,2.23,2.38
236,2036,,,2.24,2.25,2.27,2.42
237,2037,,,2.25,2.28,2.31,2.47
238,2038,,,2.27,2.31,2.35,2.52
239,2039,,,2.28,2.33,2.39,2.56
240,2040,,,2.3,2.36,2.42,2.61
241,2041,,,2.31,2.38,2.46,2.65
242,2042,,,2.32,2.41,2.49,2.69
243,2043,,,2.33,2.44,2.52,2.73
244,2044,,,2.34,2.47,2.54,2.77
245,2045,,,2.35,2.5,2.58,2.81
246,2046,,,2.36,2.53,2.62,2.86
247,2047,,,2.37,2.56,2.65,2.9
248,2048,,,2.38,2.6,2.69,2.94
249,2049,,,2.38,2.62,2.72,2.99
250,2050,,,2.38,2.65,2.76,3.04
251,2051,,,2.38,2.68,2.8,3.09
252,2052,,,2.38,2.71,2.84,3.14
253,2053,,,2.38,2.74,2.88,3.2
254,2054,,,2.38,2.76,2.92,3.26
255,2055,,,2.38,2.79,2.97,3.31
256,2056,,,2.39,2.82,3.01,3.37
257,2057,,,2.39,2.84,3.06,3.44
258,2058,,,2.39,2.86,3.1,3.49
259,2059,,,2.4,2.89,3.14,3.55
260,2060,,,2.41,2.91,3.18,3.6
261,2061,,,2.42,2.94,3.23,3.66
262,2062,,,2.42,2.96,3.28,3.71
263,2063,,,2.43,2.98,3.32,3.77
264,2064,,,2.43,2.99,3.37,3.83
265,2065,,,2.43,3.01,3.41,3.88
266,2066,,,2.43,3.03,3.46,3.94
267,2067,,,2.43,3.05,3.5,3.99
268,2068,,,2.43,3.08,3.54,4.05
269,2069,,,2.42,3.1,3.58,4.11
270,2070,,,2.42,3.11,3.63,4.16
271,2071,,,2.41,3.13,3.67,4.22
272,2072,,,2.41,3.15,3.71,4.27
273,2073,,,2.41,3.16,3.75,4.32
274,2074,,,2.41,3.18,3.79,4.37
275,2075,,,2.41,3.2,3.83,4.43
276,2076,,,2.41,3.21,3.87,4.48
277,2077,,,2.41,3.23,3.92,4.54
278,2078,,,2.41,3.25,3.96,4.6
279,2079,,,2.41,3.26,4.0,4.66
280,2080,,,2.4,3.28,4.05,4.72
281,2081,,,2.4,3.29,4.09,4.78
282,2082,,,2.39,3.31,4.13,4.85
283,2083,,,2.38,3.33,4.18,4.92
284,2084,,,2.37,3.35,4.23,4.98
285,2085,,,2.36,3.37,4.28,5.05
286,2086,,,2.36,3.39,4.32,5.11
287,2087,,,2.35,3.41,4.37,5.17
288,2088,,,2.34,3.42,4.41,5.23
289,2089,,,2.34,3.43,4.46,5.29
290,2090,,,2.33,3.44,4.49,5.35
291,2091,,,2.32,3.45,4.53,5.41
292,2092,,,2.32,3.45,4.58,5.47
293,2093,,,2.31,3.46,4.62,5.53
294,2094,,,2.3,3.47,4.66,5.59
295,2095,,,2.3,3.48,4.7,5.66
296,2096,,,2.29,3.49,4.75,5.72
297,2097,,,2.29,3.49,4.79,5.78
298,2098,,,2.28,3.5,4.84,5.83
299,2099,,,2.27,3.5,4.88,5.89
300,2100,,,2.27,3.51,4.93,5.96
