Guinea Bissau,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
146,1946,0.235,0.33,,,,
147,1947,0.375,0.31,,,,
148,1948,0.13499999999999995,0.29,,,,
149,1949,0.385,0.27,,,,
150,1950,0.065,0.25,,,,
151,1951,0.175,0.24,,,,
152,1952,0.11499999999999999,0.23,,,,
153,1953,0.345,0.23,,,,
154,1954,0.10499999999999998,0.24,,,,
155,1955,0.345,0.25,,,,
156,1956,0.125,0.27,,,,
157,1957,0.205,0.29,,,,
158,1958,0.495,0.3,,,,
159,1959,0.265,0.32,,,,
160,1960,0.375,0.32,,,,
161,1961,0.39499999999999996,0.32,,,,
162,1962,0.375,0.33,,,,
163,1963,0.5449999999999999,0.33,,,,
164,1964,0.295,0.35,,,,
165,1965,0.044999999999999984,0.36,,,,
166,1966,0.44499999999999995,0.38,,,,
167,1967,0.034999999999999976,0.39,,,,
168,1968,0.125,0.41,,,,
169,1969,0.915,0.41,,,,
170,1970,0.725,0.43,,,,
171,1971,0.27499999999999997,0.45,,,,
172,1972,0.625,0.48,,,,
173,1973,0.855,0.53,,,,
174,1974,0.15499999999999997,0.57,,,,
175,1975,0.305,0.61,,,,
176,1976,0.21499999999999997,0.64,,,,
177,1977,0.9650000000000001,0.67,,,,
178,1978,0.575,0.7,,,,
179,1979,0.9949999999999999,0.74,,,,
180,1980,1.115,0.77,,,,
181,1981,0.845,0.81,,,,
182,1982,0.605,0.85,,,,
183,1983,1.325,0.88,,,,
184,1984,0.7749999999999999,0.9,,,,
185,1985,0.715,0.92,,,,
186,1986,0.645,0.93,,,,
187,1987,1.2349999999999999,0.95,,,,
188,1988,1.005,0.97,,,,
189,1989,0.845,0.99,,,,
190,1990,1.225,1.02,,,,
191,1991,1.115,1.06,,,,
192,1992,0.9650000000000001,1.1,,,,
193,1993,1.155,1.13,,,,
194,1994,0.905,1.15,,,,
195,1995,1.165,1.17,,,,
196,1996,1.385,1.19,,,,
197,1997,1.355,1.21,,,,
198,1998,1.615,1.23,,,,
199,1999,0.915,1.26,,,,
200,2000,0.9750000000000001,1.28,,,,
201,2001,1.435,1.3,,,,
202,2002,1.5050000000000001,1.31,,,,
203,2003,1.095,1.32,,,,
204,2004,1.255,1.32,,,,
205,2005,1.665,1.33,1.26,1.28,1.28,1.28
206,2006,1.275,1.34,1.29,1.31,1.31,1.3
207,2007,1.405,1.35,1.32,1.33,1.33,1.33
208,2008,1.475,1.35,1.35,1.36,1.36,1.35
209,2009,0.9550000000000001,1.35,1.37,1.38,1.39,1.38
210,2010,1.685,1.37,1.4,1.41,1.41,1.41
211,2011,1.305,1.38,1.43,1.43,1.44,1.43
212,2012,1.195,1.4,1.46,1.46,1.46,1.46
213,2013,1.325,1.44,1.49,1.48,1.49,1.49
214,2014,1.315,1.48,1.52,1.51,1.52,1.51
215,2015,1.365,1.52,1.55,1.54,1.54,1.54
216,2016,1.7750000000000001,1.56,1.57,1.56,1.56,1.56
217,2017,1.805,1.6,1.6,1.58,1.58,1.59
218,2018,1.415,1.65,1.62,1.61,1.6,1.61
219,2019,1.615,1.69,1.65,1.64,1.62,1.64
220,2020,1.965,1.74,1.67,1.67,1.64,1.67
221,2021,,,1.7,1.7,1.67,1.7
222,2022,,,1.73,1.73,1.69,1.73
223,2023,,,1.76,1.76,1.71,1.76
224,2024,,,1.78,1.78,1.73,1.8
225,2025,,,1.81,1.81,1.75,1.83
226,2026,,,1.83,1.83,1.77,1.86
227,2027,,,1.86,1.86,1.8,1.89
228,2028,,,1.88,1.88,1.83,1.92
229,2029,,,1.91,1.91,1.85,1.95
230,2030,,,1.93,1.93,1.88,1.98
231,2031,,,1.96,1.95,1.91,2.01
232,2032,,,1.98,1.98,1.94,2.04
233,2033,,,2.0,2.0,1.97,2.07
234,2034,,,2.02,2.03,2.0,2.1
235,2035,,,2.04,2.05,2.03,2.13
236,2036,,,2.06,2.07,2.06,2.16
237,2037,,,2.07,2.1,2.1,2.2
238,2038,,,2.09,2.12,2.13,2.24
239,2039,,,2.1,2.14,2.16,2.28
240,2040,,,2.11,2.16,2.19,2.32
241,2041,,,2.12,2.18,2.23,2.36
242,2042,,,2.13,2.2,2.26,2.4
243,2043,,,2.14,2.23,2.29,2.44
244,2044,,,2.15,2.25,2.32,2.48
245,2045,,,2.16,2.27,2.36,2.52
246,2046,,,2.17,2.29,2.39,2.56
247,2047,,,2.18,2.31,2.43,2.6
248,2048,,,2.18,2.34,2.47,2.64
249,2049,,,2.18,2.36,2.5,2.68
250,2050,,,2.19,2.39,2.54,2.72
251,2051,,,2.19,2.42,2.57,2.76
252,2052,,,2.2,2.45,2.61,2.8
253,2053,,,2.21,2.48,2.64,2.85
254,2054,,,2.22,2.5,2.68,2.89
255,2055,,,2.22,2.53,2.71,2.93
256,2056,,,2.23,2.56,2.75,2.98
257,2057,,,2.24,2.58,2.78,3.03
258,2058,,,2.24,2.61,2.82,3.08
259,2059,,,2.25,2.63,2.85,3.13
260,2060,,,2.26,2.65,2.88,3.17
261,2061,,,2.26,2.68,2.91,3.22
262,2062,,,2.27,2.7,2.94,3.27
263,2063,,,2.27,2.71,2.98,3.31
264,2064,,,2.27,2.73,3.01,3.36
265,2065,,,2.27,2.75,3.05,3.4
266,2066,,,2.27,2.76,3.08,3.45
267,2067,,,2.27,2.78,3.11,3.5
268,2068,,,2.27,2.8,3.14,3.55
269,2069,,,2.27,2.82,3.18,3.6
270,2070,,,2.27,2.83,3.21,3.65
271,2071,,,2.27,2.85,3.26,3.7
272,2072,,,2.27,2.87,3.3,3.75
273,2073,,,2.27,2.88,3.34,3.8
274,2074,,,2.27,2.9,3.38,3.85
275,2075,,,2.27,2.92,3.42,3.91
276,2076,,,2.27,2.93,3.47,3.96
277,2077,,,2.26,2.95,3.51,4.02
278,2078,,,2.26,2.97,3.55,4.07
279,2079,,,2.26,2.98,3.59,4.12
280,2080,,,2.26,3.0,3.63,4.17
281,2081,,,2.26,3.02,3.66,4.22
282,2082,,,2.26,3.03,3.7,4.27
283,2083,,,2.26,3.05,3.74,4.33
284,2084,,,2.25,3.06,3.77,4.38
285,2085,,,2.25,3.07,3.81,4.43
286,2086,,,2.25,3.08,3.84,4.47
287,2087,,,2.24,3.09,3.88,4.52
288,2088,,,2.23,3.1,3.92,4.57
289,2089,,,2.22,3.11,3.96,4.62
290,2090,,,2.22,3.12,3.99,4.67
291,2091,,,2.2,3.13,4.03,4.72
292,2092,,,2.19,3.13,4.07,4.77
293,2093,,,2.18,3.15,4.11,4.82
294,2094,,,2.17,3.16,4.15,4.87
295,2095,,,2.16,3.17,4.2,4.92
296,2096,,,2.15,3.18,4.24,4.96
297,2097,,,2.14,3.19,4.29,5.01
298,2098,,,2.13,3.2,4.33,5.06
299,2099,,,2.12,3.22,4.37,5.1
300,2100,,,2.11,3.23,4.42,5.15
