Cameroon,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
217,2017,1.5713333333333335,1.5,1.58,1.58,1.56,1.58
218,2018,1.3913333333333333,1.52,1.61,1.6,1.58,1.61
219,2019,1.7013333333333334,1.54,1.63,1.63,1.59,1.63
220,2020,1.6513333333333333,1.56,1.66,1.65,1.61,1.66
221,2021,,,1.69,1.68,1.64,1.69
222,2022,,,1.73,1.7,1.67,1.72
223,2023,,,1.76,1.73,1.7,1.75
224,2024,,,1.79,1.75,1.72,1.78
225,2025,,,1.82,1.78,1.74,1.81
226,2026,,,1.84,1.8,1.77,1.84
227,2027,,,1.87,1.82,1.8,1.87
228,2028,,,1.9,1.85,1.83,1.9
229,2029,,,1.92,1.87,1.86,1.93
230,2030,,,1.95,1.9,1.9,1.96
231,2031,,,1.97,1.92,1.93,1.99
232,2032,,,2.0,1.94,1.96,2.03
233,2033,,,2.02,1.97,1.98,2.06
234,2034,,,2.04,2.0,2.01,2.1
235,2035,,,2.05,2.02,2.04,2.13
236,2036,,,2.07,2.04,2.08,2.17
237,2037,,,2.08,2.07,2.12,2.21
238,2038,,,2.09,2.09,2.15,2.25
239,2039,,,2.11,2.12,2.18,2.3
240,2040,,,2.12,2.14,2.21,2.34
241,2041,,,2.13,2.17,2.24,2.39
242,2042,,,2.14,2.19,2.28,2.43
243,2043,,,2.15,2.22,2.31,2.47
244,2044,,,2.16,2.24,2.34,2.52
245,2045,,,2.17,2.27,2.38,2.56
246,2046,,,2.18,2.3,2.42,2.61
247,2047,,,2.19,2.33,2.46,2.65
248,2048,,,2.2,2.35,2.49,2.7
249,2049,,,2.2,2.38,2.53,2.74
250,2050,,,2.21,2.41,2.57,2.79
251,2051,,,2.21,2.44,2.61,2.83
252,2052,,,2.22,2.47,2.65,2.88
253,2053,,,2.23,2.49,2.69,2.93
254,2054,,,2.24,2.52,2.73,2.97
255,2055,,,2.24,2.55,2.77,3.02
256,2056,,,2.25,2.58,2.82,3.06
257,2057,,,2.26,2.6,2.86,3.11
258,2058,,,2.27,2.62,2.9,3.16
259,2059,,,2.27,2.65,2.94,3.21
260,2060,,,2.28,2.67,2.98,3.25
261,2061,,,2.28,2.69,3.02,3.3
262,2062,,,2.29,2.71,3.07,3.35
263,2063,,,2.29,2.74,3.12,3.4
264,2064,,,2.29,2.76,3.16,3.45
265,2065,,,2.29,2.77,3.21,3.49
266,2066,,,2.29,2.79,3.25,3.54
267,2067,,,2.29,2.82,3.29,3.59
268,2068,,,2.28,2.84,3.33,3.64
269,2069,,,2.28,2.86,3.37,3.69
270,2070,,,2.28,2.88,3.42,3.75
