Democratic Republic of the Congo,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
238,2038,,,2.12,2.13,2.16,2.32
239,2039,,,2.13,2.15,2.19,2.36
240,2040,,,2.14,2.17,2.22,2.41
241,2041,,,2.15,2.2,2.26,2.45
242,2042,,,2.17,2.23,2.3,2.49
243,2043,,,2.18,2.26,2.33,2.53
244,2044,,,2.19,2.29,2.37,2.57
245,2045,,,2.2,2.31,2.41,2.61
246,2046,,,2.21,2.34,2.45,2.65
247,2047,,,2.22,2.37,2.49,2.7
248,2048,,,2.22,2.4,2.53,2.74
249,2049,,,2.23,2.42,2.57,2.78
250,2050,,,2.24,2.45,2.61,2.83
251,2051,,,2.25,2.48,2.65,2.87
252,2052,,,2.25,2.5,2.69,2.92
253,2053,,,2.26,2.53,2.73,2.97
254,2054,,,2.27,2.55,2.77,3.02
255,2055,,,2.27,2.58,2.81,3.06
256,2056,,,2.28,2.6,2.85,3.11
257,2057,,,2.29,2.63,2.89,3.16
258,2058,,,2.29,2.65,2.93,3.2
259,2059,,,2.3,2.68,2.97,3.25
260,2060,,,2.31,2.7,3.01,3.29
261,2061,,,2.31,2.72,3.05,3.34
262,2062,,,2.31,2.75,3.1,3.39
263,2063,,,2.31,2.77,3.14,3.44
264,2064,,,2.31,2.79,3.18,3.49
265,2065,,,2.31,2.81,3.23,3.53
266,2066,,,2.31,2.82,3.27,3.59
267,2067,,,2.3,2.85,3.31,3.64
268,2068,,,2.3,2.87,3.35,3.69
269,2069,,,2.29,2.89,3.39,3.74
270,2070,,,2.29,2.91,3.44,3.8
271,2071,,,2.29,2.93,3.48,3.86
272,2072,,,2.29,2.95,3.53,3.91
273,2073,,,2.29,2.97,3.57,3.97
274,2074,,,2.28,2.99,3.61,4.02
275,2075,,,2.28,3.0,3.66,4.08
276,2076,,,2.29,3.02,3.7,4.13
277,2077,,,2.29,3.04,3.75,4.19
278,2078,,,2.29,3.05,3.79,4.25
279,2079,,,2.29,3.07,3.83,4.31
280,2080,,,2.28,3.08,3.88,4.37
281,2081,,,2.28,3.09,3.92,4.42
282,2082,,,2.28,3.11,3.96,4.48
283,2083,,,2.27,3.12,4.01,4.54
284,2084,,,2.26,3.14,4.05,4.6
285,2085,,,2.26,3.15,4.09,4.66
286,2086,,,2.25,3.17,4.13,4.72
287,2087,,,2.25,3.19,4.18,4.78
288,2088,,,2.24,3.21,4.22,4.84
289,2089,,,2.23,3.22,4.26,4.9
290,2090,,,2.22,3.24,4.3,4.96
291,2091,,,2.22,3.26,4.35,5.02
292,2092,,,2.21,3.27,4.39,5.08
293,2093,,,2.21,3.28,4.44,5.14
294,2094,,,2.21,3.29,4.49,5.2
295,2095,,,2.21,3.31,4.54,5.26
296,2096,,,2.21,3.32,4.59,5.31
297,2097,,,2.2,3.33,4.64,5.37
298,2098,,,2.2,3.34,4.69,5.43
299,2099,,,2.2,3.35,4.74,5.48
300,2100,,,2.2,3.37,4.8,5.55
