Egypt,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
100,1900,0.3987096774193548,-0.0,,,,
101,1901,0.6887096774193548,-0.02,,,,
102,1902,0.2587096774193548,-0.03,,,,
103,1903,-0.36129032258064514,-0.05,,,,
104,1904,-0.4412903225806452,-0.07,,,,
105,1905,-0.08129032258064522,-0.1,,,,
106,1906,0.30870967741935484,-0.14,,,,
107,1907,-0.5212903225806451,-0.18,,,,
108,1908,-0.4112903225806452,-0.2,,,,
109,1909,0.4987096774193548,-0.2,,,,
110,1910,-0.34129032258064523,-0.18,,,,
111,1911,-0.25129032258064515,-0.15,,,,
112,1912,-0.35129032258064513,-0.11,,,,
113,1913,-0.661290322580645,-0.08,,,,
114,1914,-0.0012903225806451535,-0.05,,,,
115,1915,0.5887096774193548,-0.01,,,,
116,1916,0.5887096774193548,0.02,,,,
117,1917,-0.10129032258064513,0.06,,,,
118,1918,0.22870967741935483,0.11,,,,
119,1919,0.3287096774193548,0.15,,,,
120,1920,-0.3112903225806452,0.18,,,,
121,1921,-0.0012903225806451535,0.2,,,,
122,1922,0.30870967741935484,0.22,,,,
123,1923,0.21870967741935482,0.24,,,,
124,1924,0.3987096774193548,0.27,,,,
125,1925,0.31870967741935485,0.3,,,,
126,1926,0.10870967741935483,0.32,,,,
127,1927,0.5387096774193548,0.34,,,,
128,1928,0.7587096774193548,0.35,,,,
129,1929,0.15870967741935482,0.36,,,,
130,1930,0.4487096774193548,0.38,,,,
131,1931,0.5287096774193548,0.39,,,,
132,1932,0.17870967741935484,0.4,,,,
133,1933,0.1987096774193548,0.41,,,,
134,1934,0.3687096774193548,0.42,,,,
135,1935,0.3487096774193548,0.44,,,,
136,1936,0.8387096774193548,0.44,,,,
137,1937,0.6187096774193548,0.45,,,,
138,1938,-0.0012903225806451535,0.45,,,,
139,1939,0.7787096774193548,0.44,,,,
140,1940,0.5087096774193548,0.43,,,,
141,1941,0.6787096774193548,0.42,,,,
142,1942,0.4587096774193548,0.4,,,,
143,1943,0.058709677419354844,0.37,,,,
144,1944,0.2387096774193548,0.35,,,,
145,1945,-0.22129032258064513,0.34,,,,
146,1946,0.6087096774193548,0.34,,,,
147,1947,0.8587096774193548,0.33,,,,
148,1948,-0.3312903225806452,0.34,,,,
149,1949,-0.6012903225806452,0.35,,,,
150,1950,0.21870967741935482,0.38,,,,
151,1951,0.5487096774193548,0.4,,,,
152,1952,0.7487096774193549,0.43,,,,
153,1953,0.17870967741935484,0.46,,,,
154,1954,0.2087096774193548,0.49,,,,
155,1955,0.9287096774193548,0.53,,,,
156,1956,0.5387096774193548,0.57,,,,
157,1957,0.5887096774193548,0.59,,,,
158,1958,0.8787096774193548,0.6,,,,
159,1959,-0.07129032258064522,0.6,,,,
160,1960,1.1587096774193548,0.58,,,,
161,1961,-0.1812903225806452,0.57,,,,
162,1962,1.0887096774193548,0.55,,,,
163,1963,1.2187096774193549,0.52,,,,
164,1964,0.0087096774193548,0.5,,,,
165,1965,0.24870967741935482,0.47,,,,
166,1966,0.9087096774193548,0.44,,,,
167,1967,-0.21129032258064523,0.4,,,,
168,1968,0.2687096774193548,0.37,,,,
169,1969,0.9387096774193548,0.34,,,,
170,1970,0.21870967741935482,0.32,,,,
171,1971,0.1887096774193548,0.31,,,,
172,1972,0.3387096774193548,0.3,,,,
173,1973,0.2787096774193548,0.31,,,,
174,1974,0.24870967741935482,0.32,,,,
175,1975,0.09870967741935482,0.34,,,,
176,1976,0.3887096774193548,0.34,,,,
177,1977,0.2387096774193548,0.35,,,,
178,1978,0.4687096774193548,0.35,,,,
179,1979,1.0587096774193547,0.36,,,,
180,1980,0.6087096774193548,0.38,,,,
181,1981,0.3887096774193548,0.39,,,,
182,1982,0.03870967741935483,0.41,,,,
183,1983,-0.37129032258064515,0.42,,,,
184,1984,0.3387096774193548,0.43,,,,
185,1985,0.7487096774193549,0.43,,,,
186,1986,0.4087096774193548,0.44,,,,
187,1987,0.3387096774193548,0.46,,,,
188,1988,0.7287096774193549,0.49,,,,
189,1989,0.3387096774193548,0.53,,,,
190,1990,0.6287096774193548,0.57,,,,
191,1991,0.5787096774193549,0.6,,,,
192,1992,0.028709677419354818,0.64,,,,
193,1993,0.8287096774193548,0.68,,,,
194,1994,0.7887096774193548,0.73,,,,
195,1995,0.7387096774193549,0.77,,,,
196,1996,0.9787096774193549,0.82,,,,
197,1997,0.41870967741935483,0.86,,,,
198,1998,1.1887096774193548,0.9,,,,
199,1999,1.278709677419355,0.94,,,,
200,2000,0.3887096774193548,0.97,,,,
201,2001,1.028709677419355,1.0,,,,
202,2002,1.1887096774193548,1.02,,,,
203,2003,1.0687096774193547,1.05,,,,
204,2004,1.0487096774193547,1.08,,,,
205,2005,1.0487096774193547,1.1,1.14,1.11,1.14,1.12
206,2006,0.9787096774193549,1.13,1.18,1.15,1.18,1.16
207,2007,1.0687096774193547,1.16,1.21,1.19,1.22,1.2
208,2008,1.3787096774193548,1.21,1.25,1.24,1.26,1.24
209,2009,1.278709677419355,1.26,1.29,1.28,1.3,1.28
210,2010,2.698709677419355,1.32,1.33,1.32,1.33,1.32
211,2011,0.8487096774193548,1.38,1.37,1.36,1.37,1.36
212,2012,1.4687096774193549,1.42,1.41,1.4,1.41,1.4
213,2013,1.4287096774193548,1.46,1.44,1.44,1.45,1.44
214,2014,1.818709677419355,1.49,1.48,1.48,1.48,1.48
215,2015,1.6287096774193548,1.53,1.51,1.52,1.52,1.52
216,2016,2.008709677419355,1.57,1.54,1.55,1.54,1.55
217,2017,1.3287096774193548,1.6,1.57,1.59,1.57,1.58
218,2018,2.338709677419355,1.64,1.6,1.63,1.6,1.62
219,2019,1.4587096774193549,1.67,1.64,1.67,1.62,1.66
220,2020,1.4287096774193548,1.7,1.67,1.71,1.65,1.71
221,2021,,,1.71,1.74,1.68,1.75
222,2022,,,1.75,1.77,1.72,1.8
223,2023,,,1.78,1.8,1.75,1.84
224,2024,,,1.81,1.83,1.78,1.88
225,2025,,,1.85,1.86,1.81,1.93
226,2026,,,1.88,1.89,1.85,1.97
227,2027,,,1.91,1.91,1.88,2.02
228,2028,,,1.94,1.94,1.92,2.06
229,2029,,,1.97,1.96,1.96,2.1
230,2030,,,1.99,1.98,2.0,2.13
231,2031,,,2.01,2.01,2.05,2.17
232,2032,,,2.04,2.03,2.09,2.2
233,2033,,,2.06,2.06,2.12,2.24
234,2034,,,2.08,2.09,2.16,2.28
235,2035,,,2.09,2.12,2.2,2.32
236,2036,,,2.11,2.15,2.23,2.36
237,2037,,,2.12,2.17,2.27,2.4
238,2038,,,2.14,2.2,2.31,2.44
239,2039,,,2.15,2.23,2.34,2.49
240,2040,,,2.16,2.26,2.37,2.55
241,2041,,,2.18,2.29,2.41,2.6
242,2042,,,2.2,2.32,2.45,2.65
243,2043,,,2.21,2.35,2.49,2.71
244,2044,,,2.23,2.38,2.53,2.77
245,2045,,,2.25,2.4,2.58,2.83
246,2046,,,2.26,2.42,2.62,2.88
247,2047,,,2.28,2.45,2.67,2.94
248,2048,,,2.3,2.48,2.71,2.99
249,2049,,,2.31,2.5,2.75,3.04
250,2050,,,2.32,2.53,2.8,3.09
251,2051,,,2.33,2.55,2.84,3.15
252,2052,,,2.33,2.58,2.88,3.2
253,2053,,,2.34,2.6,2.92,3.26
254,2054,,,2.34,2.62,2.96,3.31
255,2055,,,2.34,2.65,3.0,3.36
256,2056,,,2.34,2.68,3.03,3.42
257,2057,,,2.34,2.7,3.07,3.48
258,2058,,,2.34,2.73,3.11,3.54
259,2059,,,2.34,2.75,3.15,3.6
260,2060,,,2.33,2.78,3.19,3.65
261,2061,,,2.32,2.8,3.22,3.71
262,2062,,,2.32,2.82,3.27,3.77
263,2063,,,2.32,2.85,3.31,3.83
264,2064,,,2.32,2.87,3.36,3.89
265,2065,,,2.31,2.9,3.4,3.95
266,2066,,,2.31,2.92,3.45,4.01
267,2067,,,2.31,2.94,3.49,4.07
268,2068,,,2.3,2.96,3.54,4.12
269,2069,,,2.3,2.98,3.58,4.18
270,2070,,,2.29,3.0,3.62,4.24
271,2071,,,2.29,3.01,3.67,4.29
272,2072,,,2.28,3.03,3.71,4.34
273,2073,,,2.28,3.04,3.75,4.4
274,2074,,,2.27,3.06,3.8,4.45
275,2075,,,2.27,3.08,3.84,4.5
276,2076,,,2.26,3.09,3.9,4.56
277,2077,,,2.25,3.11,3.94,4.62
278,2078,,,2.25,3.13,3.99,4.68
279,2079,,,2.24,3.14,4.04,4.75
280,2080,,,2.24,3.16,4.09,4.82
281,2081,,,2.24,3.17,4.14,4.89
282,2082,,,2.23,3.19,4.18,4.96
283,2083,,,2.23,3.2,4.24,5.03
284,2084,,,2.23,3.21,4.29,5.1
285,2085,,,2.22,3.23,4.34,5.17
286,2086,,,2.21,3.24,4.39,5.24
287,2087,,,2.2,3.26,4.44,5.31
288,2088,,,2.19,3.27,4.49,5.38
289,2089,,,2.18,3.29,4.54,5.45
290,2090,,,2.17,3.3,4.59,5.51
291,2091,,,2.16,3.32,4.64,5.58
292,2092,,,2.16,3.33,4.7,5.65
293,2093,,,2.15,3.34,4.75,5.72
294,2094,,,2.15,3.35,4.8,5.78
295,2095,,,2.14,3.36,4.85,5.85
296,2096,,,2.14,3.37,4.91,5.92
297,2097,,,2.13,3.38,4.96,5.99
298,2098,,,2.13,3.39,5.01,6.05
299,2099,,,2.13,3.39,5.07,6.11
300,2100,,,2.13,3.4,5.12,6.19
