Congo (Kinshasa),year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
227,2027,,,1.9,1.88,1.83,1.93
228,2028,,,1.93,1.9,1.86,1.96
229,2029,,,1.95,1.93,1.9,1.99
230,2030,,,1.98,1.95,1.93,2.03
231,2031,,,2.01,1.97,1.96,2.06
232,2032,,,2.03,2.0,1.98,2.09
233,2033,,,2.05,2.02,2.01,2.13
234,2034,,,2.07,2.05,2.04,2.17
235,2035,,,2.09,2.07,2.07,2.2
236,2036,,,2.11,2.09,2.11,2.24
237,2037,,,2.12,2.12,2.15,2.27
238,2038,,,2.14,2.14,2.18,2.32
239,2039,,,2.15,2.17,2.21,2.36
240,2040,,,2.16,2.19,2.25,2.4
241,2041,,,2.17,2.22,2.29,2.44
242,2042,,,2.18,2.25,2.32,2.48
243,2043,,,2.19,2.28,2.36,2.52
244,2044,,,2.21,2.31,2.39,2.56
245,2045,,,2.22,2.33,2.43,2.6
246,2046,,,2.23,2.36,2.48,2.65
247,2047,,,2.24,2.39,2.52,2.69
248,2048,,,2.24,2.42,2.56,2.73
249,2049,,,2.25,2.44,2.59,2.78
250,2050,,,2.26,2.47,2.63,2.82
251,2051,,,2.26,2.5,2.67,2.86
252,2052,,,2.27,2.52,2.71,2.91
253,2053,,,2.28,2.55,2.75,2.96
254,2054,,,2.29,2.57,2.79,3.01
255,2055,,,2.29,2.6,2.84,3.05
256,2056,,,2.3,2.62,2.88,3.1
257,2057,,,2.3,2.65,2.92,3.15
258,2058,,,2.31,2.67,2.96,3.19
259,2059,,,2.32,2.69,3.0,3.23
260,2060,,,2.32,2.72,3.04,3.27
261,2061,,,2.33,2.74,3.08,3.32
262,2062,,,2.33,2.76,3.12,3.37
263,2063,,,2.33,2.78,3.17,3.42
264,2064,,,2.33,2.8,3.21,3.47
265,2065,,,2.33,2.82,3.25,3.52
266,2066,,,2.33,2.84,3.29,3.57
267,2067,,,2.32,2.86,3.34,3.62
268,2068,,,2.31,2.88,3.38,3.67
269,2069,,,2.31,2.91,3.42,3.73
270,2070,,,2.31,2.93,3.47,3.79
271,2071,,,2.3,2.95,3.51,3.84
272,2072,,,2.3,2.97,3.56,3.9
273,2073,,,2.3,2.98,3.6,3.95
274,2074,,,2.3,3.0,3.64,4.01
275,2075,,,2.3,3.02,3.69,4.06
276,2076,,,2.3,3.03,3.73,4.12
277,2077,,,2.3,3.05,3.78,4.18
278,2078,,,2.3,3.07,3.82,4.23
279,2079,,,2.3,3.08,3.86,4.29
280,2080,,,2.3,3.1,3.91,4.35
281,2081,,,2.3,3.11,3.95,4.4
282,2082,,,2.29,3.13,3.99,4.46
283,2083,,,2.29,3.14,4.03,4.52
284,2084,,,2.28,3.15,4.08,4.58
285,2085,,,2.28,3.17,4.12,4.64
286,2086,,,2.27,3.19,4.16,4.7
287,2087,,,2.27,3.2,4.2,4.76
288,2088,,,2.26,3.22,4.25,4.82
289,2089,,,2.25,3.23,4.29,4.88
290,2090,,,2.24,3.25,4.33,4.94
291,2091,,,2.24,3.27,4.37,5.0
292,2092,,,2.23,3.28,4.41,5.06
293,2093,,,2.23,3.29,4.46,5.12
294,2094,,,2.23,3.3,4.51,5.18
295,2095,,,2.23,3.32,4.56,5.24
296,2096,,,2.22,3.33,4.61,5.3
297,2097,,,2.22,3.34,4.66,5.35
298,2098,,,2.22,3.35,4.7,5.41
299,2099,,,2.22,3.36,4.75,5.46
300,2100,,,2.22,3.37,4.81,5.53
