Syria,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
106,1906,-0.2648387096774194,-0.26,,,,
107,1907,-0.7148387096774195,-0.28,,,,
108,1908,-0.44483870967741945,-0.29,,,,
109,1909,0.5351612903225806,-0.27,,,,
110,1910,-0.33483870967741935,-0.24,,,,
111,1911,-1.2448387096774196,-0.2,,,,
112,1912,0.045161290322580594,-0.16,,,,
113,1913,-0.7248387096774195,-0.11,,,,
114,1914,-0.46483870967741936,-0.07,,,,
115,1915,0.32516129032258057,-0.03,,,,
116,1916,0.4951612903225806,0.01,,,,
117,1917,0.4051612903225806,0.05,,,,
118,1918,-0.09483870967741942,0.09,,,,
119,1919,0.3351612903225806,0.13,,,,
120,1920,-0.8848387096774194,0.16,,,,
121,1921,-0.6148387096774194,0.19,,,,
122,1922,0.39516129032258057,0.21,,,,
123,1923,0.4751612903225806,0.23,,,,
124,1924,0.2751612903225806,0.24,,,,
125,1925,0.08516129032258057,0.25,,,,
126,1926,0.2451612903225806,0.26,,,,
127,1927,0.3551612903225806,0.26,,,,
128,1928,0.32516129032258057,0.27,,,,
129,1929,0.2751612903225806,0.28,,,,
130,1930,0.7551612903225806,0.29,,,,
131,1931,0.21516129032258058,0.29,,,,
132,1932,0.025161290322580576,0.3,,,,
133,1933,-0.5548387096774194,0.31,,,,
134,1934,0.12516129032258058,0.32,,,,
135,1935,0.7551612903225806,0.32,,,,
136,1936,0.3451612903225806,0.31,,,,
137,1937,0.8051612903225807,0.31,,,,
138,1938,0.045161290322580594,0.3,,,,
139,1939,0.3451612903225806,0.3,,,,
140,1940,0.44516129032258056,0.29,,,,
141,1941,0.4851612903225806,0.26,,,,
142,1942,0.2851612903225806,0.22,,,,
143,1943,-0.0748387096774194,0.19,,,,
144,1944,0.2651612903225806,0.16,,,,
145,1945,-0.2548387096774194,0.14,,,,
146,1946,0.2651612903225806,0.13,,,,
147,1947,1.2251612903225806,0.14,,,,
148,1948,-0.2748387096774194,0.14,,,,
149,1949,-0.5748387096774195,0.15,,,,
150,1950,-0.08483870967741941,0.16,,,,
151,1951,0.5551612903225807,0.18,,,,
152,1952,0.7451612903225806,0.2,,,,
153,1953,-0.3648387096774194,0.23,,,,
154,1954,0.5851612903225806,0.26,,,,
155,1955,1.2751612903225806,0.3,,,,
156,1956,-0.1348387096774194,0.33,,,,
157,1957,0.2351612903225806,0.36,,,,
158,1958,0.6351612903225806,0.37,,,,
159,1959,-0.33483870967741935,0.38,,,,
160,1960,1.1351612903225807,0.38,,,,
161,1961,0.2051612903225806,0.38,,,,
162,1962,1.4551612903225806,0.38,,,,
163,1963,0.7651612903225806,0.39,,,,
164,1964,-0.2648387096774194,0.39,,,,
165,1965,0.2751612903225806,0.38,,,,
166,1966,1.3251612903225807,0.36,,,,
167,1967,-0.7648387096774195,0.34,,,,
168,1968,0.2651612903225806,0.3,,,,
169,1969,0.5051612903225806,0.27,,,,
170,1970,0.7651612903225806,0.24,,,,
171,1971,0.07516129032258057,0.22,,,,
172,1972,-0.6348387096774194,0.22,,,,
173,1973,0.09516129032258058,0.22,,,,
174,1974,0.12516129032258058,0.22,,,,
175,1975,0.0551612903225806,0.22,,,,
176,1976,-0.33483870967741935,0.22,,,,
177,1977,0.3851612903225806,0.21,,,,
178,1978,0.6651612903225805,0.21,,,,
179,1979,1.1151612903225807,0.23,,,,
180,1980,0.2551612903225806,0.25,,,,
181,1981,0.6151612903225806,0.28,,,,
182,1982,-0.4848387096774194,0.3,,,,
183,1983,-0.31483870967741945,0.31,,,,
184,1984,0.1151612903225806,0.32,,,,
185,1985,0.5351612903225806,0.32,,,,
186,1986,0.6251612903225806,0.33,,,,
187,1987,0.2651612903225806,0.35,,,,
188,1988,0.06516129032258061,0.39,,,,
189,1989,0.5751612903225806,0.43,,,,
190,1990,0.5151612903225806,0.48,,,,
191,1991,0.4951612903225806,0.54,,,,
192,1992,-0.9248387096774194,0.59,,,,
193,1993,0.025161290322580576,0.65,,,,
194,1994,1.1251612903225805,0.7,,,,
195,1995,0.5551612903225807,0.76,,,,
196,1996,0.9951612903225806,0.8,,,,
197,1997,-0.024838709677419413,0.84,,,,
198,1998,1.5051612903225804,0.88,,,,
199,1999,1.3751612903225805,0.91,,,,
200,2000,0.7751612903225806,0.93,,,,
201,2001,1.3951612903225805,0.95,,,,
202,2002,0.8951612903225806,0.97,,,,
203,2003,0.8751612903225806,0.98,,,,
204,2004,0.8051612903225807,0.98,,,,
205,2005,0.7851612903225806,0.99,1.09,1.06,1.13,1.08
206,2006,0.8551612903225806,1.0,1.14,1.11,1.17,1.13
207,2007,1.0951612903225807,1.02,1.18,1.15,1.2,1.17
208,2008,1.1951612903225806,1.06,1.22,1.2,1.24,1.21
209,2009,1.0351612903225806,1.11,1.26,1.25,1.28,1.26
210,2010,2.6951612903225803,1.17,1.31,1.29,1.32,1.3
211,2011,0.5551612903225807,1.24,1.35,1.34,1.36,1.34
212,2012,1.3651612903225807,1.32,1.39,1.39,1.4,1.39
213,2013,1.1351612903225807,1.4,1.43,1.44,1.44,1.43
214,2014,1.7151612903225808,1.48,1.47,1.48,1.47,1.47
215,2015,1.4551612903225806,1.57,1.51,1.53,1.5,1.51
216,2016,1.7351612903225804,1.65,1.54,1.56,1.53,1.55
217,2017,1.5951612903225807,1.73,1.58,1.61,1.56,1.59
218,2018,2.3051612903225807,1.82,1.62,1.65,1.59,1.63
219,2019,1.6751612903225808,1.91,1.66,1.69,1.62,1.68
220,2020,2.0551612903225807,1.99,1.7,1.73,1.66,1.72
221,2021,,,1.75,1.76,1.69,1.76
222,2022,,,1.79,1.79,1.72,1.81
223,2023,,,1.82,1.83,1.76,1.85
224,2024,,,1.86,1.86,1.8,1.9
225,2025,,,1.9,1.89,1.84,1.95
226,2026,,,1.94,1.91,1.88,1.99
227,2027,,,1.97,1.94,1.92,2.04
228,2028,,,2.0,1.97,1.97,2.09
229,2029,,,2.03,1.99,2.01,2.13
230,2030,,,2.05,2.02,2.05,2.17
231,2031,,,2.07,2.04,2.09,2.21
232,2032,,,2.09,2.07,2.13,2.25
233,2033,,,2.11,2.1,2.17,2.29
234,2034,,,2.12,2.13,2.2,2.33
235,2035,,,2.14,2.16,2.24,2.38
236,2036,,,2.15,2.18,2.27,2.42
237,2037,,,2.17,2.21,2.31,2.46
238,2038,,,2.18,2.24,2.35,2.51
239,2039,,,2.2,2.26,2.38,2.56
240,2040,,,2.22,2.29,2.42,2.62
241,2041,,,2.24,2.33,2.46,2.67
242,2042,,,2.26,2.36,2.5,2.73
243,2043,,,2.28,2.39,2.55,2.79
244,2044,,,2.3,2.42,2.59,2.85
245,2045,,,2.32,2.45,2.65,2.91
246,2046,,,2.34,2.48,2.7,2.97
247,2047,,,2.36,2.52,2.76,3.03
248,2048,,,2.37,2.55,2.81,3.09
249,2049,,,2.39,2.59,2.85,3.15
250,2050,,,2.4,2.62,2.9,3.21
251,2051,,,2.41,2.66,2.94,3.27
252,2052,,,2.41,2.68,2.98,3.33
253,2053,,,2.41,2.71,3.02,3.39
254,2054,,,2.42,2.73,3.06,3.45
255,2055,,,2.42,2.76,3.09,3.5
256,2056,,,2.42,2.78,3.13,3.56
257,2057,,,2.43,2.81,3.17,3.62
258,2058,,,2.43,2.83,3.21,3.68
259,2059,,,2.43,2.85,3.25,3.73
260,2060,,,2.43,2.86,3.29,3.78
261,2061,,,2.43,2.88,3.33,3.84
262,2062,,,2.42,2.9,3.38,3.9
263,2063,,,2.41,2.93,3.43,3.96
264,2064,,,2.41,2.95,3.48,4.02
265,2065,,,2.41,2.98,3.53,4.08
266,2066,,,2.4,3.0,3.58,4.15
267,2067,,,2.4,3.02,3.63,4.21
268,2068,,,2.39,3.05,3.67,4.27
269,2069,,,2.39,3.07,3.71,4.34
270,2070,,,2.39,3.08,3.76,4.4
271,2071,,,2.38,3.1,3.8,4.46
272,2072,,,2.39,3.13,3.85,4.52
273,2073,,,2.39,3.14,3.89,4.58
274,2074,,,2.39,3.16,3.93,4.64
275,2075,,,2.39,3.18,3.97,4.7
276,2076,,,2.38,3.19,4.02,4.76
277,2077,,,2.38,3.22,4.07,4.82
278,2078,,,2.37,3.24,4.12,4.89
279,2079,,,2.37,3.26,4.17,4.96
280,2080,,,2.37,3.28,4.22,5.03
281,2081,,,2.37,3.3,4.27,5.1
282,2082,,,2.36,3.31,4.32,5.17
283,2083,,,2.36,3.33,4.38,5.24
284,2084,,,2.36,3.35,4.43,5.31
285,2085,,,2.35,3.36,4.49,5.38
286,2086,,,2.35,3.37,4.54,5.44
287,2087,,,2.34,3.38,4.6,5.51
288,2088,,,2.33,3.39,4.65,5.58
289,2089,,,2.32,3.4,4.7,5.66
290,2090,,,2.3,3.41,4.75,5.73
291,2091,,,2.29,3.43,4.8,5.8
292,2092,,,2.28,3.44,4.84,5.87
293,2093,,,2.27,3.45,4.89,5.94
294,2094,,,2.27,3.46,4.94,6.01
295,2095,,,2.26,3.47,4.98,6.08
296,2096,,,2.25,3.48,5.03,6.15
297,2097,,,2.25,3.48,5.08,6.22
298,2098,,,2.24,3.49,5.12,6.28
299,2099,,,2.24,3.5,5.17,6.35
300,2100,,,2.24,3.51,5.22,6.43
