Argentina,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
133,1933,0.23299999999999998,0.27,,,,
134,1934,-0.017000000000000015,0.27,,,,
135,1935,0.423,0.26,,,,
136,1936,0.293,0.25,,,,
137,1937,0.33299999999999996,0.24,,,,
138,1938,0.123,0.25,,,,
139,1939,0.293,0.27,,,,
140,1940,0.193,0.29,,,,
141,1941,0.04299999999999998,0.3,,,,
142,1942,0.022999999999999965,0.32,,,,
143,1943,0.523,0.32,,,,
144,1944,0.983,0.34,,,,
145,1945,0.973,0.35,,,,
146,1946,0.193,0.38,,,,
147,1947,0.353,0.4,,,,
148,1948,0.353,0.4,,,,
149,1949,0.363,0.39,,,,
150,1950,0.373,0.36,,,,
151,1951,0.413,0.33,,,,
152,1952,0.503,0.31,,,,
153,1953,0.573,0.3,,,,
154,1954,0.123,0.31,,,,
155,1955,-0.15700000000000003,0.31,,,,
156,1956,-0.32700000000000007,0.32,,,,
157,1957,0.293,0.33,,,,
158,1958,0.573,0.33,,,,
159,1959,-0.017000000000000015,0.35,,,,
160,1960,0.593,0.37,,,,
161,1961,0.623,0.4,,,,
162,1962,0.513,0.45,,,,
163,1963,0.523,0.49,,,,
164,1964,0.09299999999999997,0.53,,,,
165,1965,0.563,0.55,,,,
166,1966,0.363,0.57,,,,
167,1967,0.703,0.57,,,,
168,1968,0.843,0.56,,,,
169,1969,0.923,0.56,,,,
170,1970,0.873,0.57,,,,
171,1971,0.293,0.58,,,,
172,1972,0.46299999999999997,0.59,,,,
173,1973,0.31299999999999994,0.6,,,,
174,1974,0.383,0.62,,,,
175,1975,0.673,0.63,,,,
176,1976,0.15299999999999997,0.65,,,,
177,1977,1.063,0.68,,,,
178,1978,0.903,0.72,,,,
179,1979,0.703,0.76,,,,
180,1980,0.963,0.8,,,,
181,1981,0.913,0.82,,,,
182,1982,0.963,0.84,,,,
183,1983,0.653,0.86,,,,
184,1984,0.11299999999999999,0.86,,,,
185,1985,1.0430000000000001,0.85,,,,
186,1986,1.013,0.84,,,,
187,1987,0.903,0.84,,,,
188,1988,0.533,0.83,,,,
189,1989,1.173,0.83,,,,
190,1990,0.883,0.84,,,,
191,1991,0.733,0.85,,,,
192,1992,0.32299999999999995,0.85,,,,
193,1993,0.693,0.85,,,,
194,1994,1.1829999999999998,0.84,,,,
195,1995,0.823,0.84,,,,
196,1996,0.863,0.85,,,,
197,1997,1.263,0.85,,,,
198,1998,0.913,0.87,,,,
199,1999,0.673,0.88,,,,
200,2000,0.32299999999999995,0.89,,,,
201,2001,1.013,0.89,,,,
202,2002,0.753,0.9,,,,
203,2003,1.113,0.9,,,,
204,2004,1.0430000000000001,0.92,,,,
205,2005,0.693,0.93,1.02,0.98,1.02,0.99
206,2006,1.143,0.96,1.04,1.0,1.04,1.01
207,2007,0.293,0.98,1.06,1.03,1.06,1.03
208,2008,1.163,1.01,1.08,1.05,1.08,1.06
209,2009,1.233,1.04,1.1,1.08,1.1,1.08
210,2010,0.663,1.07,1.12,1.11,1.12,1.11
211,2011,0.893,1.1,1.14,1.13,1.14,1.13
212,2012,1.2930000000000001,1.14,1.16,1.16,1.16,1.16
213,2013,1.143,1.18,1.18,1.19,1.18,1.18
214,2014,1.263,1.22,1.2,1.21,1.2,1.21
215,2015,1.5030000000000001,1.26,1.22,1.24,1.23,1.23
216,2016,1.0230000000000001,1.3,1.24,1.27,1.25,1.26
217,2017,1.573,1.34,1.26,1.3,1.27,1.29
218,2018,1.2730000000000001,1.38,1.29,1.32,1.3,1.32
219,2019,1.2530000000000001,1.42,1.31,1.34,1.32,1.35
220,2020,1.573,1.46,1.34,1.37,1.34,1.38
221,2021,,,1.37,1.39,1.36,1.41
222,2022,,,1.4,1.41,1.39,1.44
223,2023,,,1.43,1.43,1.41,1.46
224,2024,,,1.46,1.46,1.44,1.49
225,2025,,,1.48,1.48,1.46,1.52
226,2026,,,1.5,1.5,1.49,1.55
227,2027,,,1.53,1.52,1.51,1.59
228,2028,,,1.55,1.54,1.54,1.62
229,2029,,,1.56,1.56,1.56,1.65
230,2030,,,1.58,1.58,1.59,1.68
231,2031,,,1.59,1.6,1.61,1.71
232,2032,,,1.61,1.62,1.64,1.74
233,2033,,,1.63,1.64,1.67,1.78
234,2034,,,1.64,1.66,1.69,1.81
235,2035,,,1.66,1.68,1.72,1.85
236,2036,,,1.67,1.7,1.75,1.88
237,2037,,,1.68,1.71,1.78,1.91
238,2038,,,1.69,1.73,1.81,1.94
239,2039,,,1.71,1.75,1.84,1.98
240,2040,,,1.72,1.77,1.87,2.01
241,2041,,,1.73,1.8,1.91,2.05
242,2042,,,1.74,1.82,1.94,2.08
243,2043,,,1.75,1.85,1.98,2.12
244,2044,,,1.76,1.87,2.02,2.16
245,2045,,,1.76,1.89,2.05,2.19
246,2046,,,1.77,1.92,2.09,2.23
247,2047,,,1.78,1.95,2.12,2.27
248,2048,,,1.78,1.97,2.15,2.31
249,2049,,,1.79,2.0,2.18,2.36
250,2050,,,1.8,2.02,2.21,2.4
251,2051,,,1.8,2.05,2.24,2.44
252,2052,,,1.81,2.07,2.27,2.49
253,2053,,,1.82,2.09,2.3,2.53
254,2054,,,1.83,2.11,2.32,2.58
255,2055,,,1.83,2.14,2.35,2.63
256,2056,,,1.84,2.16,2.37,2.68
257,2057,,,1.84,2.18,2.4,2.73
258,2058,,,1.85,2.2,2.43,2.77
259,2059,,,1.85,2.22,2.46,2.82
260,2060,,,1.85,2.24,2.49,2.86
261,2061,,,1.85,2.26,2.53,2.91
262,2062,,,1.85,2.28,2.56,2.95
263,2063,,,1.85,2.3,2.6,3.0
264,2064,,,1.85,2.31,2.63,3.04
265,2065,,,1.86,2.33,2.67,3.08
266,2066,,,1.86,2.35,2.7,3.13
267,2067,,,1.86,2.37,2.74,3.17
268,2068,,,1.87,2.39,2.78,3.22
269,2069,,,1.87,2.4,2.82,3.26
270,2070,,,1.87,2.42,2.85,3.31
271,2071,,,1.87,2.44,2.89,3.36
272,2072,,,1.86,2.46,2.92,3.4
273,2073,,,1.86,2.47,2.96,3.45
274,2074,,,1.86,2.49,2.99,3.5
275,2075,,,1.86,2.5,3.02,3.55
276,2076,,,1.86,2.51,3.06,3.59
277,2077,,,1.86,2.53,3.09,3.64
278,2078,,,1.85,2.54,3.12,3.69
279,2079,,,1.85,2.54,3.15,3.75
280,2080,,,1.84,2.55,3.19,3.8
281,2081,,,1.84,2.56,3.22,3.84
282,2082,,,1.83,2.57,3.25,3.9
283,2083,,,1.83,2.58,3.28,3.95
284,2084,,,1.82,2.59,3.32,4.0
285,2085,,,1.82,2.61,3.35,4.05
286,2086,,,1.81,2.62,3.38,4.09
287,2087,,,1.81,2.63,3.42,4.14
288,2088,,,1.8,2.65,3.46,4.19
289,2089,,,1.79,2.66,3.49,4.24
290,2090,,,1.79,2.67,3.53,4.29
291,2091,,,1.78,2.69,3.57,4.33
292,2092,,,1.77,2.7,3.61,4.38
293,2093,,,1.77,2.7,3.65,4.43
294,2094,,,1.77,2.71,3.68,4.48
295,2095,,,1.76,2.72,3.72,4.53
296,2096,,,1.76,2.72,3.76,4.58
297,2097,,,1.76,2.73,3.8,4.63
298,2098,,,1.75,2.73,3.84,4.67
299,2099,,,1.75,2.74,3.87,4.72
300,2100,,,1.74,2.74,3.91,4.77
