Djibouti,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
234,2034,,,2.15,2.14,2.18,2.29
235,2035,,,2.17,2.16,2.21,2.33
236,2036,,,2.19,2.18,2.24,2.37
237,2037,,,2.21,2.21,2.27,2.4
238,2038,,,2.23,2.24,2.3,2.44
239,2039,,,2.24,2.26,2.33,2.49
240,2040,,,2.25,2.28,2.37,2.54
241,2041,,,2.26,2.31,2.41,2.58
242,2042,,,2.27,2.33,2.45,2.62
243,2043,,,2.28,2.36,2.48,2.67
244,2044,,,2.29,2.38,2.52,2.71
245,2045,,,2.3,2.41,2.56,2.76
246,2046,,,2.31,2.43,2.6,2.8
247,2047,,,2.32,2.46,2.64,2.85
248,2048,,,2.33,2.49,2.68,2.89
249,2049,,,2.33,2.52,2.71,2.94
250,2050,,,2.34,2.55,2.74,2.98
251,2051,,,2.35,2.58,2.77,3.03
252,2052,,,2.36,2.6,2.8,3.08
253,2053,,,2.37,2.63,2.83,3.14
254,2054,,,2.38,2.66,2.87,3.19
255,2055,,,2.39,2.69,2.91,3.24
256,2056,,,2.4,2.72,2.94,3.29
257,2057,,,2.41,2.74,2.98,3.35
258,2058,,,2.41,2.77,3.01,3.41
259,2059,,,2.42,2.79,3.05,3.46
260,2060,,,2.43,2.81,3.09,3.51
261,2061,,,2.44,2.83,3.13,3.56
262,2062,,,2.44,2.85,3.17,3.61
263,2063,,,2.44,2.87,3.21,3.66
264,2064,,,2.44,2.89,3.25,3.71
265,2065,,,2.44,2.91,3.29,3.76
266,2066,,,2.44,2.93,3.33,3.81
267,2067,,,2.43,2.95,3.36,3.87
268,2068,,,2.43,2.97,3.4,3.91
269,2069,,,2.43,2.99,3.44,3.96
270,2070,,,2.43,3.0,3.47,4.02
271,2071,,,2.43,3.02,3.51,4.07
272,2072,,,2.43,3.04,3.55,4.12
273,2073,,,2.43,3.05,3.59,4.17
274,2074,,,2.43,3.07,3.63,4.23
275,2075,,,2.42,3.08,3.67,4.28
276,2076,,,2.42,3.09,3.72,4.33
277,2077,,,2.42,3.11,3.76,4.39
278,2078,,,2.41,3.12,3.81,4.44
279,2079,,,2.42,3.14,3.85,4.5
280,2080,,,2.41,3.16,3.9,4.56
281,2081,,,2.41,3.18,3.94,4.61
282,2082,,,2.41,3.19,3.98,4.67
283,2083,,,2.4,3.21,4.03,4.73
284,2084,,,2.4,3.23,4.08,4.79
285,2085,,,2.39,3.25,4.12,4.85
286,2086,,,2.39,3.27,4.17,4.9
287,2087,,,2.39,3.28,4.21,4.96
288,2088,,,2.38,3.3,4.25,5.02
289,2089,,,2.37,3.31,4.3,5.08
290,2090,,,2.36,3.32,4.34,5.14
291,2091,,,2.35,3.33,4.38,5.2
292,2092,,,2.34,3.34,4.42,5.25
293,2093,,,2.33,3.35,4.46,5.31
294,2094,,,2.33,3.36,4.5,5.36
295,2095,,,2.32,3.37,4.54,5.41
296,2096,,,2.32,3.38,4.59,5.46
297,2097,,,2.31,3.39,4.63,5.52
298,2098,,,2.3,3.39,4.67,5.57
299,2099,,,2.3,3.4,4.71,5.61
300,2100,,,2.29,3.41,4.75,5.67
