Tanzania,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
267,2067,,,2.33,2.88,3.31,3.72
268,2068,,,2.32,2.9,3.35,3.77
269,2069,,,2.32,2.93,3.38,3.82
270,2070,,,2.32,2.94,3.42,3.87
271,2071,,,2.32,2.96,3.46,3.92
272,2072,,,2.32,2.98,3.5,3.96
273,2073,,,2.32,3.0,3.53,4.01
274,2074,,,2.32,3.01,3.57,4.06
275,2075,,,2.32,3.03,3.61,4.11
276,2076,,,2.32,3.04,3.65,4.16
277,2077,,,2.32,3.06,3.7,4.22
278,2078,,,2.32,3.07,3.74,4.27
279,2079,,,2.32,3.09,3.78,4.33
280,2080,,,2.32,3.1,3.82,4.38
281,2081,,,2.32,3.12,3.85,4.43
282,2082,,,2.31,3.13,3.89,4.48
283,2083,,,2.3,3.15,3.94,4.54
284,2084,,,2.3,3.16,3.98,4.59
285,2085,,,2.29,3.18,4.02,4.65
286,2086,,,2.29,3.2,4.06,4.7
287,2087,,,2.28,3.21,4.1,4.76
288,2088,,,2.27,3.23,4.13,4.81
289,2089,,,2.27,3.24,4.17,4.87
290,2090,,,2.26,3.25,4.21,4.93
291,2091,,,2.25,3.26,4.24,4.98
292,2092,,,2.25,3.27,4.28,5.04
293,2093,,,2.24,3.27,4.32,5.09
294,2094,,,2.24,3.28,4.35,5.14
295,2095,,,2.23,3.29,4.39,5.2
296,2096,,,2.23,3.29,4.43,5.25
297,2097,,,2.23,3.3,4.47,5.3
298,2098,,,2.22,3.3,4.5,5.35
299,2099,,,2.22,3.31,4.54,5.4
300,2100,,,2.21,3.31,4.58,5.46
