Ivory Coast,year,obs_anoms,smoothed_anoms,ssp126,ssp245,ssp370,ssp585
140,1940,0.8922222222222222,0.38,,,,
141,1941,0.8922222222222222,0.39,,,,
142,1942,0.3022222222222223,0.39,,,,
143,1943,0.15222222222222226,0.4,,,,
144,1944,0.6922222222222223,0.39,,,,
145,1945,0.34222222222222226,0.38,,,,
146,1946,0.21222222222222226,0.37,,,,
147,1947,0.5522222222222223,0.35,,,,
148,1948,0.19222222222222227,0.34,,,,
149,1949,0.41222222222222227,0.32,,,,
150,1950,0.20222222222222225,0.31,,,,
151,1951,0.38222222222222224,0.29,,,,
152,1952,0.33222222222222225,0.29,,,,
153,1953,0.34222222222222226,0.29,,,,
154,1954,0.12222222222222223,0.29,,,,
155,1955,0.14222222222222225,0.3,,,,
156,1956,0.08222222222222225,0.31,,,,
157,1957,0.35222222222222227,0.32,,,,
158,1958,0.44222222222222224,0.32,,,,
159,1959,0.4922222222222222,0.33,,,,
160,1960,0.45222222222222225,0.34,,,,
161,1961,0.33222222222222225,0.35,,,,
162,1962,0.28222222222222226,0.36,,,,
163,1963,0.6022222222222222,0.36,,,,
164,1964,0.15222222222222226,0.37,,,,
165,1965,0.17222222222222225,0.38,,,,
166,1966,0.5122222222222222,0.38,,,,
167,1967,0.12222222222222223,0.39,,,,
168,1968,0.3622222222222223,0.4,,,,
169,1969,0.7022222222222223,0.41,,,,
170,1970,0.6322222222222222,0.41,,,,
171,1971,0.20222222222222225,0.43,,,,
172,1972,0.4922222222222222,0.44,,,,
173,1973,0.9222222222222223,0.47,,,,
174,1974,0.29222222222222227,0.49,,,,
175,1975,0.21222222222222226,0.51,,,,
176,1976,0.07222222222222224,0.54,,,,
177,1977,0.6922222222222223,0.56,,,,
178,1978,0.5322222222222223,0.58,,,,
179,1979,0.8222222222222222,0.61,,,,
180,1980,0.8222222222222222,0.64,,,,
181,1981,0.7022222222222223,0.67,,,,
182,1982,0.4822222222222223,0.7,,,,
183,1983,1.0922222222222222,0.73,,,,
184,1984,0.7722222222222223,0.74,,,,
185,1985,0.5322222222222223,0.76,,,,
186,1986,0.5522222222222223,0.76,,,,
187,1987,1.4422222222222223,0.77,,,,
188,1988,0.9122222222222223,0.78,,,,
189,1989,0.7322222222222223,0.8,,,,
190,1990,0.9422222222222223,0.82,,,,
191,1991,0.8222222222222222,0.85,,,,
192,1992,0.6722222222222223,0.88,,,,
193,1993,0.8422222222222222,0.9,,,,
194,1994,0.8522222222222222,0.92,,,,
195,1995,1.0722222222222224,0.94,,,,
196,1996,1.0522222222222224,0.96,,,,
197,1997,0.9822222222222222,1.0,,,,
198,1998,1.6622222222222223,1.04,,,,
199,1999,0.9122222222222223,1.08,,,,
200,2000,0.7622222222222222,1.13,,,,
201,2001,1.1222222222222222,1.16,,,,
202,2002,1.1522222222222223,1.19,,,,
203,2003,1.4022222222222223,1.23,,,,
204,2004,1.3022222222222224,1.26,,,,
205,2005,1.5422222222222222,1.29,1.13,1.16,1.16,1.13
206,2006,1.3622222222222222,1.31,1.16,1.19,1.19,1.17
207,2007,1.4022222222222223,1.32,1.19,1.22,1.22,1.2
208,2008,1.2222222222222223,1.32,1.22,1.25,1.25,1.23
209,2009,1.3522222222222222,1.32,1.25,1.27,1.28,1.26
210,2010,1.5522222222222222,1.32,1.28,1.3,1.3,1.29
211,2011,1.2422222222222223,1.33,1.32,1.33,1.33,1.33
212,2012,1.0222222222222221,1.34,1.35,1.35,1.36,1.36
213,2013,1.2022222222222223,1.36,1.38,1.38,1.39,1.39
214,2014,1.1622222222222223,1.37,1.41,1.41,1.42,1.42
215,2015,1.4122222222222223,1.39,1.45,1.44,1.44,1.45
216,2016,1.7322222222222223,1.4,1.48,1.46,1.46,1.48
217,2017,1.6022222222222222,1.42,1.51,1.49,1.49,1.5
218,2018,1.3622222222222222,1.44,1.55,1.51,1.51,1.53
219,2019,1.4822222222222223,1.46,1.58,1.54,1.52,1.55
220,2020,1.4122222222222223,1.48,1.61,1.56,1.55,1.58
221,2021,,,1.64,1.59,1.57,1.61
222,2022,,,1.68,1.62,1.6,1.64
223,2023,,,1.71,1.65,1.63,1.68
224,2024,,,1.73,1.68,1.66,1.71
225,2025,,,1.76,1.71,1.69,1.75
226,2026,,,1.79,1.74,1.72,1.78
227,2027,,,1.81,1.77,1.75,1.81
228,2028,,,1.83,1.8,1.78,1.85
229,2029,,,1.86,1.83,1.81,1.88
230,2030,,,1.88,1.85,1.84,1.91
231,2031,,,1.9,1.87,1.87,1.95
232,2032,,,1.93,1.9,1.9,1.99
233,2033,,,1.95,1.92,1.93,2.02
234,2034,,,1.97,1.94,1.95,2.06
235,2035,,,1.98,1.97,1.98,2.1
236,2036,,,2.0,1.99,2.01,2.14
237,2037,,,2.02,2.01,2.05,2.17
238,2038,,,2.03,2.03,2.08,2.22
239,2039,,,2.04,2.06,2.1,2.26
240,2040,,,2.06,2.08,2.13,2.3
241,2041,,,2.07,2.11,2.17,2.35
242,2042,,,2.08,2.13,2.2,2.39
243,2043,,,2.09,2.16,2.23,2.43
244,2044,,,2.1,2.19,2.26,2.47
245,2045,,,2.12,2.21,2.3,2.51
246,2046,,,2.13,2.24,2.34,2.56
247,2047,,,2.14,2.28,2.38,2.6
248,2048,,,2.15,2.31,2.41,2.64
249,2049,,,2.15,2.33,2.45,2.69
250,2050,,,2.16,2.36,2.48,2.73
251,2051,,,2.17,2.39,2.52,2.78
252,2052,,,2.17,2.42,2.56,2.83
253,2053,,,2.18,2.45,2.59,2.88
254,2054,,,2.18,2.48,2.63,2.93
255,2055,,,2.19,2.51,2.67,2.98
256,2056,,,2.19,2.53,2.7,3.03
257,2057,,,2.19,2.56,2.74,3.08
258,2058,,,2.2,2.58,2.78,3.14
259,2059,,,2.2,2.6,2.81,3.19
260,2060,,,2.21,2.62,2.85,3.23
261,2061,,,2.21,2.64,2.89,3.29
262,2062,,,2.21,2.66,2.93,3.34
263,2063,,,2.22,2.68,2.97,3.4
264,2064,,,2.22,2.7,3.01,3.45
265,2065,,,2.22,2.72,3.05,3.5
266,2066,,,2.22,2.73,3.09,3.56
267,2067,,,2.22,2.75,3.13,3.61
268,2068,,,2.22,2.78,3.16,3.66
269,2069,,,2.22,2.8,3.2,3.71
270,2070,,,2.22,2.82,3.24,3.76
271,2071,,,2.22,2.84,3.28,3.81
272,2072,,,2.22,2.86,3.32,3.86
273,2073,,,2.21,2.88,3.36,3.92
274,2074,,,2.21,2.9,3.4,3.97
275,2075,,,2.21,2.92,3.44,4.02
276,2076,,,2.21,2.93,3.49,4.08
277,2077,,,2.21,2.95,3.53,4.13
278,2078,,,2.21,2.97,3.57,4.19
279,2079,,,2.21,2.98,3.61,4.25
280,2080,,,2.21,3.0,3.66,4.3
281,2081,,,2.21,3.02,3.69,4.36
282,2082,,,2.21,3.03,3.73,4.42
283,2083,,,2.21,3.04,3.77,4.47
284,2084,,,2.2,3.06,3.81,4.53
285,2085,,,2.2,3.07,3.85,4.58
286,2086,,,2.19,3.09,3.89,4.63
287,2087,,,2.19,3.1,3.93,4.68
288,2088,,,2.17,3.11,3.97,4.73
289,2089,,,2.16,3.13,4.0,4.79
290,2090,,,2.15,3.14,4.04,4.85
291,2091,,,2.14,3.15,4.08,4.9
292,2092,,,2.13,3.17,4.13,4.96
293,2093,,,2.13,3.18,4.18,5.01
294,2094,,,2.12,3.19,4.23,5.07
295,2095,,,2.11,3.21,4.27,5.12
296,2096,,,2.11,3.22,4.32,5.17
297,2097,,,2.1,3.24,4.37,5.23
298,2098,,,2.09,3.25,4.42,5.28
299,2099,,,2.09,3.26,4.47,5.33
300,2100,,,2.08,3.27,4.52,5.39
